,var,feature_importances_
89,89,8.422096
88,88,1.1842192
80,80,0.78481334
86,86,0.64447945
87,87,0.6194913
26,26,0.6102622
116,116,0.48764858
71,71,0.44500315
79,79,0.40070456
70,70,0.20268585
107,107,0.17596209
35,35,0.17088039
25,25,0.16878037
62,62,0.15796822
53,53,0.15065935
1,1,0.11162095
106,106,0.10081519
85,85,0.09727611
84,84,0.09600052
23,23,0.09211705
52,52,0.092065625
143,143,0.088484816
115,115,0.08744466
21,21,0.07858335
74,74,0.07818776
2,2,0.077131934
126,126,0.0762723
105,105,0.07484942
82,82,0.073795244
69,69,0.07145699
129,129,0.07086145
8,8,0.070571564
83,83,0.068533525
114,114,0.068378665
78,78,0.0680966
104,104,0.06770546
75,75,0.06756772
103,103,0.06545548
145,145,0.06255815
77,77,0.06152997
142,142,0.061274357
65,65,0.06045764
108,108,0.059892472
135,135,0.0590618
132,132,0.05902103
81,81,0.05826582
125,125,0.057900675
28,28,0.057712995
44,44,0.057199042
131,131,0.057094265
133,133,0.057085436
111,111,0.056126673
134,134,0.056076415
144,144,0.05604184
68,68,0.055811856
136,136,0.05574864
147,147,0.05497966
34,34,0.054700844
148,148,0.05355193
61,61,0.052261446
73,73,0.0518473
109,109,0.051821887
76,76,0.050427135
152,152,0.05033709
157,157,0.050136257
63,63,0.05004925
153,153,0.049940467
24,24,0.04981828
66,66,0.04981806
0,0,0.049594462
130,130,0.0495709
5,5,0.04835724
67,67,0.04795685
60,60,0.0479429
72,72,0.0477907
140,140,0.04775882
161,161,0.04767417
156,156,0.046725303
20,20,0.0463668
110,110,0.046120316
54,54,0.045671217
19,19,0.045575533
18,18,0.044976704
22,22,0.044970144
49,49,0.04487849
43,43,0.044416178
141,141,0.0442956
64,64,0.0441265
41,41,0.04394388
113,113,0.04367214
159,159,0.043671586
149,149,0.04235461
137,137,0.04184986
47,47,0.041447654
155,155,0.04113724
112,112,0.041071214
139,139,0.040932536
51,51,0.040729064
96,96,0.03996048
36,36,0.0399514
150,150,0.039872672
100,100,0.039736237
101,101,0.039699376
33,33,0.039427835
97,97,0.039339796
42,42,0.039160777
50,50,0.038006105
146,146,0.037783507
154,154,0.03760245
128,128,0.037052263
45,45,0.036901075
48,48,0.036643073
56,56,0.03658905
30,30,0.036384962
59,59,0.036278777
160,160,0.03601119
40,40,0.035920203
27,27,0.035663437
46,46,0.035377484
32,32,0.035047952
99,99,0.03440672
127,127,0.033490777
29,29,0.032662313
38,38,0.032519277
151,151,0.03245484
39,39,0.032435566
55,55,0.032149315
4,4,0.0320223
158,158,0.031663112
138,138,0.029869182
7,7,0.029797388
57,57,0.029647548
31,31,0.027876718
3,3,0.027595067
37,37,0.026095623
6,6,0.02430471
58,58,0.022985095
102,102,0.02119425
118,118,0.021125747
117,117,0.020853084
123,123,0.018692963
13,13,0.017856972
12,12,0.016749725
122,122,0.01564377
17,17,0.015211916
11,11,0.01477915
120,120,0.01428906
93,93,0.012905865
98,98,0.012641848
121,121,0.01052012
16,16,0.01044729
124,124,0.010243404
91,91,0.010007442
119,119,0.009936254
10,10,0.00980133
9,9,0.009370161
15,15,0.009015723
94,94,0.007113709
14,14,0.006552492
95,95,0.0059559275
92,92,0.005066382
90,90,0.00053034094
